zip,City,State,County Name
81504,GRAND JUNCTION,CO,MESA
81505,GRAND JUNCTION,CO,MESA
81506,GRAND JUNCTION,CO,MESA
81507,GRAND JUNCTION,CO,MESA
80447,GRAND LAKE,CO,GRAND
80448,GRANT,CO,PARK
80631,GREELEY,CO,WELD
80632,GREELEY,CO,WELD
80633,GREELEY,CO,WELD
80634,GREELEY,CO,WELD
80638,GREELEY,CO,WELD
80639,GREELEY,CO,WELD
80819,GREEN MOUNTAIN FALLS,CO,EL PASO
80729,GROVER,CO,WELD
80820,GUFFEY,CO,PARK
81230,GUNNISON,CO,GUNNISON
81231,GUNNISON,CO,GUNNISON
81637,GYPSUM,CO,EAGLE
81638,HAMILTON,CO,MOFFAT
81043,HARTMAN,CO,PROWERS
80449,HARTSEL,CO,PARK
81044,HASTY,CO,BENT
81045,HASWELL,CO,KIOWA
80731,HAXTUN,CO,PHILLIPS
81639,HAYDEN,CO,ROUTT
80640,HENDERSON,CO,ADAMS
80732,HEREFORD,CO,WELD
81326,HESPERUS,CO,LA PLATA
80733,HILLROSE,CO,MORGAN
81232,HILLSIDE,CO,FREMONT
81046,HOEHNE,CO,LAS ANIMAS
81047,HOLLY,CO,PROWERS
80734,HOLYOKE,CO,PHILLIPS
81136,HOOPER,CO,ALAMOSA
80451,HOT SULPHUR SPRINGS,CO,GRAND
81419,HOTCHKISS,CO,DELTA
81233,HOWARD,CO,FREMONT
80642,HUDSON,CO,WELD
80821,HUGO,CO,LINCOLN
80533,HYGIENE,CO,BOULDER
80452,IDAHO SPRINGS,CO,CLEAR CREEK
80735,IDALIA,CO,YUMA
80453,IDLEDALE,CO,JEFFERSON
81137,IGNACIO,CO,LA PLATA
80736,ILIFF,CO,LOGAN
80454,INDIAN HILLS,CO,JEFFERSON
80455,JAMESTOWN,CO,BOULDER
80456,JEFFERSON,CO,PARK
80822,JOES,CO,YUMA
80534,JOHNSTOWN,CO,WELD
80737,JULESBURG,CO,SEDGWICK
80823,KARVAL,CO,LINCOLN
80643,KEENESBURG,CO,WELD
80644,KERSEY,CO,WELD
81049,KIM,CO,LAS ANIMAS
80117,KIOWA,CO,ELBERT
80824,KIRK,CO,YUMA
80825,KIT CARSON,CO,CHEYENNE
80457,KITTREDGE,CO,JEFFERSON
80459,KREMMLING,CO,GRAND
81140,LA JARA,CO,CONEJOS
81050,LA JUNTA,CO,OTERO
80645,LA SALLE,CO,WELD
81055,LA VETA,CO,HUERFANO
80026,LAFAYETTE,CO,BOULDER
81235,LAKE CITY,CO,HINSDALE
80827,LAKE GEORGE,CO,PARK
81052,LAMAR,CO,PROWERS
80535,LAPORTE,CO,LARIMER
80118,LARKSPUR,CO,DOUGLAS
81054,LAS ANIMAS,CO,BENT
81420,LAZEAR,CO,DELTA
80461,LEADVILLE,CO,LAKE
81327,LEWIS,CO,MONTEZUMA
80826,LIMON,CO,LINCOLN
80828,LIMON,CO,LINCOLN
80740,LINDON,CO,WASHINGTON
80120,LITTLETON,CO,ARAPAHOE
80121,LITTLETON,CO,ARAPAHOE
80122,LITTLETON,CO,ARAPAHOE
80160,LITTLETON,CO,ARAPAHOE
80161,LITTLETON,CO,ARAPAHOE
80125,LITTLETON,CO,DOUGLAS
80126,LITTLETON,CO,DOUGLAS
80129,LITTLETON,CO,DOUGLAS
80130,LITTLETON,CO,DOUGLAS
80163,LITTLETON,CO,DOUGLAS
80123,LITTLETON,CO,JEFFERSON
80127,LITTLETON,CO,JEFFERSON
80128,LITTLETON,CO,JEFFERSON
80162,LITTLETON,CO,JEFFERSON
80536,LIVERMORE,CO,LARIMER
80705,LOG LANE VILLAGE,CO,MORGAN
81524,LOMA,CO,MESA
80124,LONE TREE,CO,DOUGLAS
80501,LONGMONT,CO,BOULDER
80502,LONGMONT,CO,BOULDER
80503,LONGMONT,CO,BOULDER
80504,LONGMONT,CO,WELD
80027,LOUISVILLE,CO,BOULDER
80131,LOUVIERS,CO,DOUGLAS
80537,LOVELAND,CO,LARIMER
80538,LOVELAND,CO,LARIMER
80539,LOVELAND,CO,LARIMER
80646,LUCERNE,CO,WELD
80540,LYONS,CO,BOULDER
81525,MACK,CO,MESA
81141,MANASSA,CO,CONEJOS
81328,MANCOS,CO,MONTEZUMA
80829,MANITOU SPRINGS,CO,EL PASO
81058,MANZANOLA,CO,OTERO
81329,MARVEL,CO,LA PLATA
80541,MASONVILLE,CO,LARIMER
80830,MATHESON,CO,ELBERT
81640,MAYBELL,CO,MOFFAT
81057,MC CLAVE,CO,BENT
80463,MC COY,CO,EAGLE
80542,MEAD,CO,WELD
81641,MEEKER,CO,RIO BLANCO
81642,MEREDITH,CO,PITKIN
80741,MERINO,CO,LOGAN
81643,MESA,CO,MESA
81330,MESA VERDE NATIONAL PARK,CO,MONTEZUMA
80543,MILLIKEN,CO,WELD
81645,MINTURN,CO,EAGLE
81059,MODEL,CO,LAS ANIMAS
81143,MOFFAT,CO,SAGUACHE
81646,MOLINA,CO,MESA
81227,MONARCH,CO,CHAFFEE
81144,MONTE VISTA,CO,RIO GRANDE
81401,MONTROSE,CO,MONTROSE
81402,MONTROSE,CO,MONTROSE
81403,MONTROSE,CO,MONTROSE
80132,MONUMENT,CO,EL PASO
80465,MORRISON,CO,JEFFERSON
81146,MOSCA,CO,ALAMOSA
81236,NATHROP,CO,CHAFFEE
81422,NATURITA,CO,MONTROSE
80466,NEDERLAND,CO,BOULDER
81647,NEW CASTLE,CO,GARFIELD
80742,NEW RAYMER,CO,WELD
80544,NIWOT,CO,BOULDER
81423,NORWOOD,CO,SAN MIGUEL
81424,NUCLA,CO,MONTROSE
80648,NUNN,CO,WELD
80467,OAK CREEK,CO,ROUTT
81237,OHIO CITY,CO,GUNNISON
81425,OLATHE,CO,MONTROSE
81062,OLNEY SPRINGS,CO,CROWLEY
81426,OPHIR,CO,SAN MIGUEL
80649,ORCHARD,CO,MORGAN
81063,ORDWAY,CO,CROWLEY
80743,OTIS,CO,WASHINGTON
81427,OURAY,CO,OURAY
80744,OVID,CO,SEDGWICK
80745,PADRONI,CO,LOGAN
81147,PAGOSA SPRINGS,CO,ARCHULETA
81157,PAGOSA SPRINGS,CO,ARCHULETA
81526,PALISADE,CO,MESA
80133,PALMER LAKE,CO,EL PASO
80746,PAOLI,CO,PHILLIPS
81428,PAONIA,CO,DELTA
81635,PARACHUTE,CO,GARFIELD
81429,PARADOX,CO,MONTROSE
80134,PARKER,CO,DOUGLAS
80138,PARKER,CO,DOUGLAS
81239,PARLIN,CO,GUNNISON
80468,PARSHALL,CO,GRAND
80747,PEETZ,CO,LOGAN
81240,PENROSE,CO,FREMONT
80831,PEYTON,CO,EL PASO
80469,PHIPPSBURG,CO,ROUTT
80650,PIERCE,CO,WELD
80470,PINE,CO,JEFFERSON
80471,PINECLIFFE,CO,BOULDER
81241,PITKIN,CO,GUNNISON
81430,PLACERVILLE,CO,SAN MIGUEL
80651,PLATTEVILLE,CO,WELD
81331,PLEASANT VIEW,CO,MONTEZUMA
81242,PONCHA SPRINGS,CO,CHAFFEE
81243,POWDERHORN,CO,GUNNISON
81064,PRITCHETT,CO,BACA
81001,PUEBLO,CO,PUEBLO
81002,PUEBLO,CO,PUEBLO
81003,PUEBLO,CO,PUEBLO
81004,PUEBLO,CO,PUEBLO
81005,PUEBLO,CO,PUEBLO
81006,PUEBLO,CO,PUEBLO
81007,PUEBLO,CO,PUEBLO
81008,PUEBLO,CO,PUEBLO
81009,PUEBLO,CO,PUEBLO
81011,PUEBLO,CO,PUEBLO
80832,RAMAH,CO,EL PASO
81648,RANGELY,CO,RIO BLANCO
81649,RED CLIFF,CO,EAGLE
80545,RED FEATHER LAKES,CO,LARIMER
81431,REDVALE,CO,MONTROSE
81332,RICO,CO,DOLORES
81432,RIDGWAY,CO,OURAY
81650,RIFLE,CO,GARFIELD
81244,ROCKVALE,CO,FREMONT
81067,ROCKY FORD,CO,OTERO
80652,ROGGEN,CO,WELD
80474,ROLLINSVILLE,CO,GILPIN
81148,ROMEO,CO,CONEJOS
80833,RUSH,CO,EL PASO
81069,RYE,CO,PUEBLO
81149,SAGUACHE,CO,SAGUACHE
81201,SALIDA,CO,CHAFFEE
81152,SAN LUIS,CO,COSTILLA
81151,SANFORD,CO,CONEJOS
81248,SARGENTS,CO,SAGUACHE
80135,SEDALIA,CO,DOUGLAS
80749,SEDGWICK,CO,SEDGWICK
80834,SEIBERT,CO,KIT CARSON
80546,SEVERANCE,CO,WELD
80475,SHAWNEE,CO,PARK
81071,SHERIDAN LAKE,CO,KIOWA
81652,SILT,CO,GARFIELD
80476,SILVER PLUME,CO,CLEAR CREEK
80497,SILVERTHORNE,CO,SUMMIT
80498,SILVERTHORNE,CO,SUMMIT
81433,SILVERTON,CO,SAN JUAN
80835,SIMLA,CO,ELBERT
81653,SLATER,CO,MOFFAT
81654,SNOWMASS,CO,PITKIN
81615,SNOWMASS VILLAGE,CO,PITKIN
80750,SNYDER,CO,MORGAN
81434,SOMERSET,CO,GUNNISON
81154,SOUTH FORK,CO,RIO GRANDE
81073,SPRINGFIELD,CO,BACA
80477,STEAMBOAT SPRINGS,CO,ROUTT
80487,STEAMBOAT SPRINGS,CO,ROUTT
80488,STEAMBOAT SPRINGS,CO,ROUTT
80751,STERLING,CO,LOGAN
80754,STONEHAM,CO,WELD
80136,STRASBURG,CO,ADAMS
80836,STRATTON,CO,KIT CARSON
81076,SUGAR CITY,CO,CROWLEY
81077,SWINK,CO,OTERO
80478,TABERNASH,CO,GRAND
81435,TELLURIDE,CO,SAN MIGUEL
80241,THORNTON,CO,ADAMS
80547,TIMNATH,CO,LARIMER
80479,TOPONAS,CO,ROUTT
81334,TOWAOC,CO,MONTEZUMA
81082,TRINIDAD,CO,LAS ANIMAS
81251,TWIN LAKES,CO,LAKE
81084,TWO BUTTES,CO,BACA
80840,USAF ACADEMY,CO,EL PASO
80841,USAF ACADEMY,CO,EL PASO
81657,VAIL,CO,EAGLE
81658,VAIL,CO,EAGLE
80755,VERNON,CO,YUMA
80860,VICTOR,CO,TELLER
81087,VILAS,CO,BACA
81155,VILLA GROVE,CO,SAGUACHE
80861,VONA,CO,KIT CARSON
80480,WALDEN,CO,JACKSON
81089,WALSENBURG,CO,HUERFANO
81090,WALSH,CO,BACA
80481,WARD,CO,BOULDER
80137,WATKINS,CO,ADAMS
80653,WELDONA,CO,MORGAN
80549,WELLINGTON,CO,LARIMER
81252,WESTCLIFFE,CO,CUSTER
80030,WESTMINSTER,CO,ADAMS
80031,WESTMINSTER,CO,ADAMS
80035,WESTMINSTER,CO,ADAMS
80036,WESTMINSTER,CO,ADAMS
81091,WESTON,CO,LAS ANIMAS
81253,WETMORE,CO,CUSTER
80033,WHEAT RIDGE,CO,JEFFERSON
80034,WHEAT RIDGE,CO,JEFFERSON
81527,WHITEWATER,CO,MESA
80654,WIGGINS,CO,MORGAN
81092,WILEY,CO,PROWERS
80550,WINDSOR,CO,WELD
80551,WINDSOR,CO,WELD
80482,WINTER PARK,CO,GRAND
81655,WOLCOTT,CO,EAGLE
80863,WOODLAND PARK,CO,TELLER
80866,WOODLAND PARK,CO,TELLER
80757,WOODROW,CO,WASHINGTON
81656,WOODY CREEK,CO,PITKIN
80758,WRAY,CO,YUMA
80483,YAMPA,CO,ROUTT
81335,YELLOW JACKET,CO,MONTEZUMA
80864,YODER,CO,EL PASO
80759,YUMA,CO,YUMA
,,,
,,,
"For more information, kindly visit: www.downloadexcelfiles.com",,,
